week	confct in 1wk	confct in 4wks	confct in 12wks
(2010, 18)	17	68	252
(2010, 19)	1	99	238
(2010, 20)	22	108	261
(2010, 21)	28	120	240
(2010, 22)	48	104	235
(2010, 23)	10	63	208
(2010, 24)	34	69	229
(2010, 25)	12	84	200
(2010, 26)	7	80	227
(2010, 27)	16	76	230
(2010, 28)	49	84	241
(2010, 29)	8	36	207
(2010, 30)	3	51	273
(2010, 31)	24	69	291
(2010, 32)	1	76	278
(2010, 33)	23	80	278
(2010, 34)	21	96	262
(2010, 35)	31	85	241
(2010, 36)	5	81	259
(2010, 37)	39	91	280
(2010, 38)	10	126	256
(2010, 39)	27	137	246
(2010, 40)	15	121	219
(2010, 41)	74	107	207
(2010, 42)	21	40	145
(2010, 43)	11	19	127
(2010, 44)	1	57	124
(2010, 45)	7	82	130
(2010, 46)	0	90	145
(2010, 47)	49	90	153
(2010, 48)	26	41	109
(2010, 49)	15	18	84
(2010, 50)	0	15	81
(2010, 51)	0	18	91
(2010, 52)	3	26	126
(2011, 1)	12	30	205
(2011, 2)	3	40	206
(2011, 3)	8	45	251
(2011, 4)	7	42	255
(2011, 5)	22	36	303
(2011, 6)	8	26	286
(2011, 7)	5	28	289
(2011, 8)	1	58	305
(2011, 9)	12	139	358
(2011, 10)	10	140	364
(2011, 11)	35	178	421
(2011, 12)	82	155	422
(2011, 13)	13	128	347
(2011, 14)	48	120	338
(2011, 15)	12	83	318
(2011, 16)	55	92	307
(2011, 17)	5	91	330
(2011, 18)	11	104	334
(2011, 19)	21	160	326
(2011, 20)	54	175	363
(2011, 21)	18	128	320
(2011, 22)	67	114	369
(2011, 23)	36	75	323
(2011, 24)	7	40	300
(2011, 25)	4	111	305
(2011, 26)	28	116	350
(2011, 27)	1	91	362
(2011, 28)	78	148	384
(2011, 29)	9	81	314
(2011, 30)	3	139	354
(2011, 31)	58	157	354
(2011, 32)	11	112	322
(2011, 33)	67	113	312
(2011, 34)	21	95	290
(2011, 35)	13	114	292
(2011, 36)	12	124	282
(2011, 37)	49	120	303
(2011, 38)	40	120	264
(2011, 39)	23	83	225
(2011, 40)	8	86	205
(2011, 41)	49	79	202
(2011, 42)	3	75	154
(2011, 43)	26	95	153
(2011, 44)	1	72	128
(2011, 45)	45	104	146
(2011, 46)	23	69	116
(2011, 47)	3	47	106
(2011, 48)	33	47	114
(2011, 49)	10	19	175
(2011, 50)	1	10	179
(2011, 51)	3	11	193
(2011, 52)	5	9	223
(2012, 1)	1	23	303
(2012, 2)	2	37	308
(2012, 3)	1	48	337
(2012, 4)	19	58	351
(2012, 5)	15	133	340
(2012, 6)	13	132	344
(2012, 7)	11	134	345
(2012, 8)	94	156	353
(2012, 9)	14	147	365
(2012, 10)	15	139	378
(2012, 11)	33	155	423
(2012, 12)	85	137	412
(2012, 13)	6	60	341
(2012, 14)	31	73	349
(2012, 15)	15	56	414
(2012, 16)	8	60	419
(2012, 17)	19	158	429
(2012, 18)	14	166	423
(2012, 19)	19	212	410
(2012, 20)	106	215	394
(2012, 21)	27	123	342
(2012, 22)	60	110	321
(2012, 23)	22	146	267
(2012, 24)	14	144	274
(2012, 25)	14	148	312
(2012, 26)	96	147	342
(2012, 27)	20	52	252
(2012, 28)	18	35	255
(2012, 29)	13	71	257
(2012, 30)	1	64	262
(2012, 31)	3	69	267
(2012, 32)	54	95	281
(2012, 33)	6	93	236
(2012, 34)	6	131	300
(2012, 35)	29	131	307
(2012, 36)	52	125	284
(2012, 37)	44	93	301
(2012, 38)	6	67	272
(2012, 39)	23	67	266
(2012, 40)	20	61	243
(2012, 41)	18	50	223
(2012, 42)	6	102	244
(2012, 43)	17	109	248
(2012, 44)	9	98	236
(2012, 45)	70	158	233
(2012, 46)	13	103	166
(2012, 47)	6	90	172
(2012, 48)	69	84	188
(2012, 49)	15	15	134
(2012, 50)	0	39	250
(2012, 51)	0	49	295
(2012, 52)	0	54	301
(2013, 1)	39	60	301
(2013, 2)	10	24	300
(2013, 3)	5	33	344
(2013, 4)	6	50	346
(2013, 5)	3	59	401
(2013, 6)	19	187	405
(2013, 7)	22	213	424
(2013, 8)	15	197	463
(2013, 9)	131	182	479
(2013, 10)	45	89	369
(2013, 11)	6	98	376
(2013, 12)	0	99	377
(2013, 13)	38	160	385
(2013, 14)	54	129	380
(2013, 15)	7	113	343
(2013, 16)	61	167	343
(2013, 17)	7	137	394
(2013, 18)	38	151	406
(2013, 19)	61	165	370
(2013, 20)	31	111	322
(2013, 21)	21	88	332
(2013, 22)	52	100	344
(2013, 23)	7	65	322
(2013, 24)	8	65	387
(2013, 25)	33	169	419
(2013, 26)	17	155	404
(2013, 27)	7	140	438
(2013, 28)	112	146	450
(2013, 29)	19	75	378
(2013, 30)	2	89	426
(2013, 31)	13	117	442
(2013, 32)	41	176	444
(2013, 33)	33	175	450
(2013, 34)	30	160	433
(2013, 35)	72	181	435
(2013, 36)	40	128	374
(2013, 37)	18	128	382
(2013, 38)	51	177	369
(2013, 39)	19	144	327
(2013, 40)	40	140	308
(2013, 41)	67	147	268
(2013, 42)	18	96	221
(2013, 43)	15	110	220
(2013, 44)	47	106	222
(2013, 45)	16	107	177
(2013, 46)	32	96	164
(2013, 47)	11	73	149
(2013, 48)	48	62	160
(2013, 49)	5	14	123
(2013, 50)	9	29	146
(2013, 51)	0	37	153
(2013, 52)	0	54	181
(2014, 1)	20	56	293
(2014, 2)	17	39	327
(2014, 3)	17	39	346
(2014, 4)	2	44	330
(2014, 5)	3	53	338
(2014, 6)	17	78	367
(2014, 7)	22	77	373
(2014, 8)	11	83	380
(2014, 9)	28	184	407
(2014, 10)	16	210	394
(2014, 11)	28	230	472
(2014, 12)	112	203	453
(2014, 13)	54	101	377
(2014, 14)	36	79	335
(2014, 15)	1	66	432
(2014, 16)	10	94	436
(2014, 17)	32	122	438
(2014, 18)	23	105	442
(2014, 19)	29	176	437
(2014, 20)	38	156	436
(2014, 21)	15	154	398
(2014, 22)	94	151	425
(2014, 23)	9	190	347
(2014, 24)	36	186	368
(2014, 25)	12	162	361
(2014, 26)	133	186	397
(2014, 27)	5	71	305
(2014, 28)	12	94	348
(2014, 29)	36	82	344
